,Postcode,Borough,Neighbourhood
0,M3A,North York,Parkwoods
1,M4A,North York,Victoria Village
2,M5A,Downtown Toronto,Harbourfront
3,M6A,North York,Lawrence Heights
4,M6A,North York,Lawrence Manor
5,M7A,Downtown Toronto,Queen's Park
6,M1B,Scarborough,Rouge
7,M1B,Scarborough,Malvern
8,M3B,North York,Don Mills North
9,M4B,East York,Woodbine Gardens
10,M4B,East York,Parkview Hill
11,M5B,Downtown Toronto,Ryerson
12,M5B,Downtown Toronto,Garden District
13,M6B,North York,Glencairn
14,M9B,Etobicoke,Cloverdale
15,M9B,Etobicoke,Islington
16,M9B,Etobicoke,Martin Grove
17,M9B,Etobicoke,Princess Gardens
18,M9B,Etobicoke,West Deane Park
19,M1C,Scarborough,Highland Creek
20,M1C,Scarborough,Rouge Hill
21,M1C,Scarborough,Port Union
22,M3C,North York,Flemingdon Park
23,M3C,North York,Don Mills South
24,M4C,East York,Woodbine Heights
25,M5C,Downtown Toronto,St. James Town
26,M6C,York,Humewood-Cedarvale
27,M9C,Etobicoke,Bloordale Gardens
28,M9C,Etobicoke,Eringate
29,M9C,Etobicoke,Markland Wood
30,M9C,Etobicoke,Old Burnhamthorpe
31,M1E,Scarborough,Guildwood
32,M1E,Scarborough,Morningside
33,M1E,Scarborough,West Hill
34,M4E,East Toronto,The Beaches
35,M5E,Downtown Toronto,Berczy Park
36,M6E,York,Caledonia-Fairbanks
37,M1G,Scarborough,Woburn
38,M4G,East York,Leaside
39,M5G,Downtown Toronto,Central Bay Street
40,M6G,Downtown Toronto,Christie
41,M1H,Scarborough,Cedarbrae
42,M2H,North York,Hillcrest Village
43,M3H,North York,Bathurst Manor
44,M3H,North York,Downsview North
45,M3H,North York,Wilson Heights
46,M4H,East York,Thorncliffe Park
47,M5H,Downtown Toronto,Adelaide
48,M5H,Downtown Toronto,King
49,M5H,Downtown Toronto,Richmond
50,M6H,West Toronto,Dovercourt Village
51,M6H,West Toronto,Dufferin
52,M1J,Scarborough,Scarborough Village
53,M2J,North York,Fairview
54,M2J,North York,Henry Farm
55,M2J,North York,Oriole
56,M3J,North York,Northwood Park
57,M3J,North York,York University
58,M4J,East York,East Toronto
59,M5J,Downtown Toronto,Harbourfront East
60,M5J,Downtown Toronto,Toronto Islands
61,M5J,Downtown Toronto,Union Station
62,M6J,West Toronto,Little Portugal
63,M6J,West Toronto,Trinity
64,M1K,Scarborough,East Birchmount Park
65,M1K,Scarborough,Ionview
66,M1K,Scarborough,Kennedy Park
67,M2K,North York,Bayview Village
68,M3K,North York,CFB Toronto
69,M3K,North York,Downsview East
70,M4K,East Toronto,The Danforth West
71,M4K,East Toronto,Riverdale
72,M5K,Downtown Toronto,Design Exchange
73,M5K,Downtown Toronto,Toronto Dominion Centre
74,M6K,West Toronto,Brockton
75,M6K,West Toronto,Exhibition Place
76,M6K,West Toronto,Parkdale Village
77,M1L,Scarborough,Clairlea
78,M1L,Scarborough,Golden Mile
79,M1L,Scarborough,Oakridge
80,M2L,North York,Silver Hills
81,M2L,North York,York Mills
82,M3L,North York,Downsview West
83,M4L,East Toronto,The Beaches West
84,M4L,East Toronto,India Bazaar
85,M5L,Downtown Toronto,Commerce Court
86,M5L,Downtown Toronto,Victoria Hotel
87,M6L,North York,Downsview
88,M6L,North York,North Park
89,M6L,North York,Upwood Park
90,M9L,North York,Humber Summit
91,M1M,Scarborough,Cliffcrest
92,M1M,Scarborough,Cliffside
93,M1M,Scarborough,Scarborough Village West
94,M2M,North York,Newtonbrook
95,M2M,North York,Willowdale
96,M3M,North York,Downsview Central
97,M4M,East Toronto,Studio District
98,M5M,North York,Bedford Park
99,M5M,North York,Lawrence Manor East
100,M6M,York,Del Ray
101,M6M,York,Keelesdale
102,M6M,York,Mount Dennis
103,M6M,York,Silverthorn
104,M9M,North York,Emery
105,M9M,North York,Humberlea
106,M1N,Scarborough,Birch Cliff
107,M1N,Scarborough,Cliffside West
108,M2N,North York,Willowdale South
109,M3N,North York,Downsview Northwest
110,M4N,Central Toronto,Lawrence Park
111,M5N,Central Toronto,Roselawn
112,M6N,York,The Junction North
113,M6N,York,Runnymede
114,M9N,York,Weston
115,M1P,Scarborough,Dorset Park
116,M1P,Scarborough,Scarborough Town Centre
117,M1P,Scarborough,Wexford Heights
118,M2P,North York,York Mills West
119,M4P,Central Toronto,Davisville North
120,M5P,Central Toronto,Forest Hill North
121,M5P,Central Toronto,Forest Hill West
122,M6P,West Toronto,High Park
123,M6P,West Toronto,The Junction South
124,M9P,Etobicoke,Westmount
125,M1R,Scarborough,Maryvale
